berth_name,x,y
TOWER WF- COVER,0.325190932,51.4545059
TOWER WF - MAIN,0.326197535,51.4544868
TOWER WF- INNER,0.326291084,51.453495
TOWER WHARF    ,0.326381922,51.4545021
ROBINS WHF     ,0.328226507,51.4519272
TGT - COASTER  ,0.329425246,51.4647293
TGT - MAIN JTY ,0.32998538,51.4638519
TIL GRAIN TML  ,0.32999754,51.4638863
TGT - INNER BTH,0.33070451,51.4638405
BEVANS WHF     ,0.331451297,51.4502449
NFLT HOPE UPPER,0.332579285,51.4610786
NFLT HOPE MIDDL,0.333280563,51.459301
NFLT HOPE CONT ,0.333538055,51.4587669
Bevans Fuel Oil Berth,0.333566844,51.44939334
NFLT HOPE LOWER,0.333979309,51.4574776
42 BEVANS WHF  ,0.335700661,51.4489021
Tilbury Lock,0.337459729,51.45516134
NORTHFLEET TERM,0.339968145,51.4479179
Tilbury Cargo Jetty,0.344442549,51.45097493
RED LION WHARF ,0.347110897,51.4468727
AEI Jetty,0.350682152,51.44635334
OLD SUN WHARF  ,0.352820247,51.4459496
Tilbury Repair Jetty,0.355217231,51.45057904
IMPERIAL JETTY ,0.357151836,51.4462242
TILBURY RO RO  ,0.361692131,51.4505386
Gravesend Ship Tier,0.36352412,51.44699438
TIL LDNG STG   ,0.364572436,51.4505692
WEST ST PIER   ,0.368288755,51.445816
TOWN PIER      ,0.371035337,51.4458389
RYL TERACE PIER,0.374650955,51.4455757
Gravesend Swing,0.380832696,51.44772322
MARSH FARM     ,0.382912278,51.4517288
Tilbury Power Station - Upper,0.38608584,51.45186121
DENTON SHIP REP,0.388963223,51.4434624
Tilbury Power Station - Lower,0.389915846,51.45216089
DENTON WHF     ,0.395203143,51.4445534
CLUBBS WHF     ,0.401719511,51.4453201
Denton Small Ship Mooring,0.410543425,51.44617158
Cliffe - Jet Jetty,0.452734668,51.46269831
ALPHA JTY      ,0.454197288,51.4644661
CLIFFE PUMP    ,0.4584378,51.4708939
LONDON GATEWAY3,0.488347381,51.5033188
LONDON GATEWAY2,0.495568693,51.5036125
LONDON GATEWAY ,0.497410297,51.5035477
LONDON GATEWAY1,0.50290513,51.5041656
SHELLHAVEN S   ,0.508903503,51.5050201
ROCHESTER      ,0.522676706,51.3971024
CORYTON NO 5   ,0.523414969,51.5068398
CHATHAM DOCK   ,0.524790287,51.3943672
CORYTON NO 3   ,0.527842522,51.5074196
CORYTON REF.   ,0.528470278,51.5074883
CORYTON NO 1   ,0.533002377,51.5082054
CORYTON NO 2   ,0.535114527,51.5086098
CORYTON NO 4   ,0.539710343,51.5070267
Chainrock Jetty,0.546207753,51.50724611
OIKOS STORAGE  ,0.55494976,51.5089455
Oikos Auxiliary Jetty,0.559957674,51.50829571
Oikos No.3 Jetty,0.563543651,51.50799252
CALOR GAS TERM ,0.568500757,51.5064468
OAKHAMNESS JTY ,0.644545555,51.4155617
THAMES PORT    ,0.68607688,51.4324341
SOUTHEND PIER  ,0.722474754,51.5146637
WASHER WHF     ,0.726197362,51.4129105
SHNESS DK NO 5 ,0.738229752,51.4361
SHNESS DK NO 4 ,0.738578439,51.4367332
SHNESS DK NO 3 ,0.741775632,51.4408798
SHNESS DK NO 2 ,0.74275732,51.4422531
SHEERNESS DOCKS,0.743154287,51.4458618
SHNESS DK NO 11,0.743224025,51.445797
SHNESS GUNWHARF,0.743411779,51.4452782
SHNESS DK NO 1 ,0.743438601,51.4439697
SHNESS DK NO 10,0.745643377,51.4484444
RIDHAM DOCK    ,0.759043694,51.3837013
WHITSTABLE HARB,1.02640629,51.3628387
GREAT OAKLEY   ,1.22772217,51.8830605
